01a3, b9ec
01a4, bc7c
01a5, 28b8
01a6, c71d
01a7, 4bc6
01a8, fce9
01a9, 1ad1
01aa, de5c
01ab, cbc2
01ac, da99
01ad, b01e
01ae, fb48
01af, 9f9d
01b0, 32a3
01b1, 9ec4
01b2, cb68
01b3, 41b7
01b4, b9c4
01b5, 262a
01b6, e3e7
01b7, 4257
01b8, 9ea8
01b9, 7c49
01ba, 9984
01bb, 42d3
01bc, a4fe
01bd, 54ba
01be, fc4e
01bf, e067
01c0, b5d2
01c1, 9b9c
01c2, 8b29
01c3, 96e8
01c4, 6c17
01c5, 1220
01c6, 38a6
01c7, c70f
01c8, c7ad
01c9, 902c
01ca, 0921
01cb, 0a13
01cc, d48c
01cd, 2ba7
01ce, 1e42
01cf, 85c9
01d0, 8aa0
01d1, 00b4
01d2, 209e
01d3, 218a
01d4, 06e1
01d5, 66af
01d6, 4484
01d7, 218e
01d8, 27fa
01d9, 22ae
01da, 4485
01db, 2182
01dc, 00b8
01dd, 01a4
01de, 2092
01df, 3d6b
01e0, 6a62
01e1, 26d6
01e2, 7c19
01e3, 4de6
01e4, 8cab
01e5, b76f
01e6, aae8
01e7, 49e6
01e8, a590
01e9, e0c4
01ea, ecab
01eb, c9e2
01ec, 729f
01ed, e3ec
01ee, c4fe
01ef, c0c1
01f0, 42e0
01f1, dd69
01f2, a763
01f3, 9dbe
01f4, f848
01f5, f676
01f6, 5afc
01f7, 649f
01f8, daf9
01f9, 67ba
01fa, f79a
01fb, 8b83
01fc, fbb8
01fd, 4fad
01fe, ac0f
01ff, 9cdd
0200, e0dd
0201, b301
0202, 6951
0203, 3963
0204, bc6b
0205, 5c32
0206, 9a98
0207, 9879
0208, edfe
0209, 9f19
020a, a314
020b, f5dc
020c, bbe7
020d, 4f15
020e, dd0c
020f, cbb0
0210, 324c
0211, 2314
0212, 25b5
0213, edfc
0214, ef4c
0215, 84eb
0216, a665
0217, 9f6f
0218, 300b
0219, e0ba
021a, 2363
021b, 712c
021c, c3b0
021d, 41d5
021e, 1669
021f, fc01
0220, fb84
0221, bd0b
0222, f024
0223, 35a4
0224, 360c
0225, 253d
0226, 4e74
0227, b95e
0228, 992b
0229, ecc5
022a, b819
022b, 0c72
022c, 54f7
022d, 88ab
022e, 6179
022f, 5b34
0230, f004
0231, 29da
0232, 7cc5
0233, 202e
0234, 9b71
0235, 49eb
0236, 0365
0237, a7d9
0238, 0148
0239, b6ae
023a, fd17
023b, a599
023c, 424c
023d, 3a81
